module_annotation,module,node,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count,degree,module_content_number,llm_module_name
modulation of chemical synaptic transmission,Functional_module_128,GO:0050804,modulation of chemical synaptic transmission,29/1420,101/15876,0.287128712871287,3.21017989122856,6.9836199283765,9.02013953940902e-9,1.02478807544952e-6,8.6930935444129e-7,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000043573/ENSMFAG00000041327/ENSMFAG00000001913/ENSMFAG00000031490/ENSMFAG00000004661/ENSMFAG00000011695/ENSMFAG00000046085/ENSMFAG00000007024,10,0,1,modulation of chemical synaptic transmission
regulation of trans-synaptic signaling,Functional_module_129,GO:0099177;GO:0048585;GO:0009968;GO:0010648;GO:0023057;GO:0022603;GO:0048638;GO:0031345;GO:0050768;GO:0051961;GO:0050793;GO:0010721;GO:0050770;GO:0048640;GO:0051241;GO:0051093;GO:0050771;GO:0044092;GO:0030516;GO:0045926;GO:0048841;GO:0048843;GO:0050922;GO:0051129;GO:0030517;GO:0045596;GO:0040013;GO:1902531;GO:0030308;GO:0090101,regulation of trans-synaptic signaling;negative regulation of response to stimulus;negative regulation of signal transduction;negative regulation of cell communication;negative regulation of signaling;regulation of anatomical structure morphogenesis;regulation of developmental growth;negative regulation of cell projection organization;negative regulation of neurogenesis;negative regulation of nervous system development;regulation of developmental process;negative regulation of cell development;regulation of axonogenesis;negative regulation of developmental growth;negative regulation of multicellular organismal process;negative regulation of developmental process;negative regulation of axonogenesis;negative regulation of molecular function;regulation of axon extension;negative regulation of growth;regulation of axon extension involved in axon guidance;negative regulation of axon extension involved in axon guidance;negative regulation of chemotaxis;negative regulation of cellular component organization;negative regulation of axon extension;negative regulation of cell differentiation;negative regulation of locomotion;regulation of intracellular signal transduction;negative regulation of cell growth;negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,29/1420,101/15876;331/15876;261/15876;267/15876;268/15876;137/15876;38/15876;29/15876;24/15876;24/15876;338/15876;35/15876;47/15876;26/15876;114/15876;72/15876;23/15876;161/15876;25/15876;31/15876;20/15876;20/15876;20/15876;125/15876;21/15876;52/15876;40/15876;437/15876;28/15876;28/15876,0.287128712871287,3.21017989122856,6.9836199283765,9.02013953940902e-9,1.02478807544952e-6,8.6930935444129e-7,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000043573/ENSMFAG00000041327/ENSMFAG00000001913/ENSMFAG00000031490/ENSMFAG00000004661/ENSMFAG00000011695/ENSMFAG00000046085/ENSMFAG00000007024/ENSMFAG00000037522/ENSMFAG00000000907/ENSMFAG00000039689/ENSMFAG00000000709/ENSMFAG00000041769/ENSMFAG00000038895/ENSMFAG00000039131/ENSMFAG00000041776/ENSMFAG00000001498/ENSMFAG00000042836/ENSMFAG00000034143/ENSMFAG00000032845/ENSMFAG00000032688/ENSMFAG00000046132/ENSMFAG00000035766/ENSMFAG00000003938/ENSMFAG00000033436/ENSMFAG00000041030/ENSMFAG00000062653/ENSMFAG00000043811/ENSMFAG00000000365/ENSMFAG00000029995/ENSMFAG00000002620/ENSMFAG00000034278/ENSMFAG00000030995/ENSMFAG00000043163/ENSMFAG00000037347/ENSMFAG00000038429/ENSMFAG00000031220/ENSMFAG00000034040/ENSMFAG00000045363/ENSMFAG00000030151/ENSMFAG00000004450/ENSMFAG00000044010/ENSMFAG00000003264/ENSMFAG00000002250/ENSMFAG00000039797/ENSMFAG00000045944/ENSMFAG00000003543/ENSMFAG00000032021/ENSMFAG00000043991/ENSMFAG00000042783/ENSMFAG00000031656/ENSMFAG00000041306/ENSMFAG00000033026/ENSMFAG00000031053/ENSMFAG00000036168/ENSMFAG00000043845/ENSMFAG00000040348/ENSMFAG00000003931/ENSMFAG00000035840/ENSMFAG00000052498/ENSMFAG00000032675/ENSMFAG00000037073/ENSMFAG00000034537/ENSMFAG00000042889/ENSMFAG00000057813/ENSMFAG00000032304/ENSMFAG00000041772/ENSMFAG00000032077/ENSMFAG00000031323/ENSMFAG00000032238/ENSMFAG00000038070/ENSMFAG00000044813/ENSMFAG00000032687/ENSMFAG00000008235/ENSMFAG00000036947/ENSMFAG00000033235/ENSMFAG00000045940/ENSMFAG00000035179/ENSMFAG00000001904/ENSMFAG00000041258/ENSMFAG00000003779/ENSMFAG00000042942/ENSMFAG00000041228/ENSMFAG00000036183/ENSMFAG00000046048/ENSMFAG00000043770/ENSMFAG00000039723/ENSMFAG00000038037/ENSMFAG00000002404/ENSMFAG00000044012/ENSMFAG00000034429/ENSMFAG00000030822/ENSMFAG00000045614/ENSMFAG00000002321/ENSMFAG00000037397/ENSMFAG00000040522/ENSMFAG00000003544/ENSMFAG00000032674/ENSMFAG00000032965/ENSMFAG00000039275/ENSMFAG00000001770/ENSMFAG00000038831/ENSMFAG00000001399/ENSMFAG00000031697/ENSMFAG00000042354,107,4,30,Negative Regulation of Neurogenesis and Axon Guidance
MAPK signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_2,mcf04010;GO:0000165,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque);MAPK cascade,40/553,296/10949;153/15876,0.135135135135135,2.67557792874249,6.74017771757554,1.04768304011443e-8,1.15358549412033e-6,5.73529561623341e-7,ENSMFAG00000042352/ENSMFAG00000003264/ENSMFAG00000027291/ENSMFAG00000003655/ENSMFAG00000043639/ENSMFAG00000003965/ENSMFAG00000003904/ENSMFAG00000042254/ENSMFAG00000044118/ENSMFAG00000000709/ENSMFAG00000041658/ENSMFAG00000044479/ENSMFAG00000001498/ENSMFAG00000044981/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000031605/ENSMFAG00000041761/ENSMFAG00000041588/ENSMFAG00000040944/ENSMFAG00000038064/ENSMFAG00000039646/ENSMFAG00000035766/ENSMFAG00000034429/ENSMFAG00000033978/ENSMFAG00000043991/ENSMFAG00000030642/ENSMFAG00000001069/ENSMFAG00000034537/ENSMFAG00000046085/ENSMFAG00000054210/ENSMFAG00000045752/ENSMFAG00000000459/ENSMFAG00000037347/ENSMFAG00000037837/ENSMFAG00000040095/ENSMFAG00000038633/ENSMFAG00000030100/ENSMFAG00000031697/ENSMFAG00000032342/ENSMFAG00000041228/ENSMFAG00000036183/ENSMFAG00000042836/ENSMFAG00000045614/ENSMFAG00000037397/ENSMFAG00000040522/ENSMFAG00000034278/ENSMFAG00000034040/ENSMFAG00000042354,49,1,2,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque)
Prostate cancer - Macaca fascicularis (crab-eating macaque),Functional_module_3,mcf05215,Prostate cancer - Macaca fascicularis (crab-eating macaque),22/553,106/10949,0.207547169811321,4.10928383772903,7.41882962824938,1.12728224181139e-8,1.15358549412033e-6,5.73529561623341e-7,ENSMFAG00000035831/ENSMFAG00000036813/ENSMFAG00000036522/ENSMFAG00000039013/ENSMFAG00000037140/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000044622/ENSMFAG00000042125/ENSMFAG00000004544/ENSMFAG00000017605/ENSMFAG00000037539/ENSMFAG00000003544/ENSMFAG00000042570/ENSMFAG00000001069/ENSMFAG00000034537/ENSMFAG00000002620/ENSMFAG00000045752/ENSMFAG00000042359/ENSMFAG00000034131/ENSMFAG00000043191/ENSMFAG00000031697,22,0,1,Prostate cancer - Macaca fascicularis (crab-eating macaque)
cell cortex,Functional_module_134,GO:0005938;GO:0030036;GO:0030029;GO:0030863;GO:0030866;GO:0015629;GO:0003779;GO:0099738;GO:0030865;GO:0030864;GO:0051015,cell cortex;actin cytoskeleton organization;actin filament-based process;cortical cytoskeleton;cortical actin cytoskeleton organization;actin cytoskeleton;actin binding;cell cortex region;cortical cytoskeleton organization;cortical actin cytoskeleton;actin filament binding,32/1404,127/15549;371/15876;384/15876;57/15549;22/15876;261/15549;292/15985;18/15549;32/15876;48/15549;184/15985,0.251968503937008,2.79049734167844,6.3829954613321,6.22882589012966e-8,2.25370245842873e-6,1.84182507181824e-6,ENSMFAG00000045618/ENSMFAG00000001444/ENSMFAG00000041121/ENSMFAG00000037535/ENSMFAG00000044119/ENSMFAG00000035434/ENSMFAG00000045944/ENSMFAG00000045464/ENSMFAG00000043612/ENSMFAG00000030296/ENSMFAG00000035179/ENSMFAG00000044099/ENSMFAG00000003466/ENSMFAG00000042129/ENSMFAG00000003353/ENSMFAG00000044097/ENSMFAG00000045134/ENSMFAG00000043861/ENSMFAG00000032926/ENSMFAG00000040039/ENSMFAG00000027633/ENSMFAG00000038127/ENSMFAG00000003264/ENSMFAG00000036947/ENSMFAG00000002088/ENSMFAG00000004075/ENSMFAG00000033235/ENSMFAG00000030106/ENSMFAG00000045940/ENSMFAG00000042431/ENSMFAG00000000203/ENSMFAG00000033632/ENSMFAG00000032749/ENSMFAG00000041327/ENSMFAG00000043366/ENSMFAG00000001975/ENSMFAG00000033021/ENSMFAG00000032366/ENSMFAG00000030743/ENSMFAG00000031342/ENSMFAG00000039842/ENSMFAG00000042816/ENSMFAG00000025691/ENSMFAG00000040315/ENSMFAG00000042783/ENSMFAG00000003567/ENSMFAG00000000459/ENSMFAG00000045205/ENSMFAG00000043088/ENSMFAG00000041306/ENSMFAG00000039873/ENSMFAG00000036168/ENSMFAG00000041776/ENSMFAG00000039255/ENSMFAG00000040304/ENSMFAG00000003995/ENSMFAG00000037111/ENSMFAG00000044993/ENSMFAG00000017883/ENSMFAG00000003975/ENSMFAG00000031656/ENSMFAG00000042801/ENSMFAG00000001399,63,3,11,Actin Cytoskeleton Organization and Cell Dynamics
anchoring junction,Functional_module_171,GO:0070161,anchoring junction,51/1404,257/15549,0.198443579766537,2.19772024344009,6.09970948239246,5.71546580213563e-8,2.25370245842873e-6,1.84182507181824e-6,ENSMFAG00000032319/ENSMFAG00000043359/ENSMFAG00000043114/ENSMFAG00000029911/ENSMFAG00000001084/ENSMFAG00000000203/ENSMFAG00000003975/ENSMFAG00000045417/ENSMFAG00000032749/ENSMFAG00000001164/ENSMFAG00000037125/ENSMFAG00000004661/ENSMFAG00000062691/ENSMFAG00000032301/ENSMFAG00000041030/ENSMFAG00000034335/ENSMFAG00000035429/ENSMFAG00000031656/ENSMFAG00000042129/ENSMFAG00000032853/ENSMFAG00000040109/ENSMFAG00000003995/ENSMFAG00000032756/ENSMFAG00000001695/ENSMFAG00000034131/ENSMFAG00000040160/ENSMFAG00000042681/ENSMFAG00000000196,28,0,1,anchoring junction
Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque),Functional_module_4,mcf05205,Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque),31/553,207/10949,0.14975845410628,2.96510906692525,6.58303376727214,4.65536986379214e-8,3.57299637046047e-6,1.77639113223648e-6,ENSMFAG00000042352/ENSMFAG00000003264/ENSMFAG00000027291/ENSMFAG00000002250/ENSMFAG00000031678/ENSMFAG00000003904/ENSMFAG00000044118/ENSMFAG00000003635/ENSMFAG00000026858/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000045733/ENSMFAG00000003726/ENSMFAG00000039013/ENSMFAG00000001164/ENSMFAG00000043366/ENSMFAG00000030983/ENSMFAG00000044377/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000043991/ENSMFAG00000031656/ENSMFAG00000001069/ENSMFAG00000034537/ENSMFAG00000054210/ENSMFAG00000042359/ENSMFAG00000044011/ENSMFAG00000034131/ENSMFAG00000020572/ENSMFAG00000032083/ENSMFAG00000035688,31,0,1,Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque)
cell junction organization,Functional_module_131,GO:0034330;GO:0005911;GO:0034329,cell junction organization;cell-cell junction;cell junction assembly,40/1420,178/15876;201/15549;106/15876,0.224719101123595,2.51242285171704,6.359720636683,3.66164635937697e-8,3.74403340246295e-6,3.17599642118592e-6,ENSMFAG00000036313/ENSMFAG00000001017/ENSMFAG00000043359/ENSMFAG00000031053/ENSMFAG00000039255/ENSMFAG00000043366/ENSMFAG00000037125/ENSMFAG00000002025/ENSMFAG00000052498/ENSMFAG00000037495/ENSMFAG00000004661/ENSMFAG00000000986/ENSMFAG00000062691/ENSMFAG00000041030/ENSMFAG00000034335/ENSMFAG00000003353/ENSMFAG00000032853/ENSMFAG00000031966/ENSMFAG00000039677/ENSMFAG00000001695/ENSMFAG00000031204/ENSMFAG00000000196/ENSMFAG00000037775/ENSMFAG00000032319/ENSMFAG00000043114/ENSMFAG00000029911/ENSMFAG00000001084/ENSMFAG00000000203/ENSMFAG00000032749/ENSMFAG00000032301/ENSMFAG00000035429/ENSMFAG00000031656/ENSMFAG00000042129/ENSMFAG00000040109/ENSMFAG00000003995/ENSMFAG00000034131/ENSMFAG00000040160/ENSMFAG00000042681,38,2,3,Cell Junction Organization in Fibrosis and Neurodegeneration
Glutamatergic synapse - Macaca fascicularis (crab-eating macaque),Functional_module_5,mcf04724;GO:0007268;GO:0035249;mcf04727;mcf04721;GO:0099504,"Glutamatergic synapse - Macaca fascicularis (crab-eating macaque);chemical synaptic transmission;synaptic transmission, glutamatergic;GABAergic synapse - Macaca fascicularis (crab-eating macaque);Synaptic vesicle cycle - Macaca fascicularis (crab-eating macaque);synaptic vesicle cycle",22/553,116/10949;262/15876;42/15876;90/10949;82/10949;81/15876,0.189655172413793,3.75503523102825,6.8798442189629,6.32544149220896e-8,3.8838210762163e-6,1.9309242449901e-6,ENSMFAG00000027291/ENSMFAG00000034037/ENSMFAG00000024693/ENSMFAG00000003655/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000044211/ENSMFAG00000044118/ENSMFAG00000041470/ENSMFAG00000031022/ENSMFAG00000001655/ENSMFAG00000001913/ENSMFAG00000031490/ENSMFAG00000043293/ENSMFAG00000003513/ENSMFAG00000011695/ENSMFAG00000040506/ENSMFAG00000009753/ENSMFAG00000035688/ENSMFAG00000043247/ENSMFAG00000007024/ENSMFAG00000043008/ENSMFAG00000004075/ENSMFAG00000001940/ENSMFAG00000003495/ENSMFAG00000043573/ENSMFAG00000041327/ENSMFAG00000001652/ENSMFAG00000033872/ENSMFAG00000046358/ENSMFAG00000004661/ENSMFAG00000033709/ENSMFAG00000000666/ENSMFAG00000030419/ENSMFAG00000003353/ENSMFAG00000046085/ENSMFAG00000031591/ENSMFAG00000040160/ENSMFAG00000036313/ENSMFAG00000040724/ENSMFAG00000032937/ENSMFAG00000004019/ENSMFAG00000035372/ENSMFAG00000032985/ENSMFAG00000009940/ENSMFAG00000032866/ENSMFAG00000032523/ENSMFAG00000002978/ENSMFAG00000052498/ENSMFAG00000044012,50,2,6,Synaptic Vesicle Cycling and Neurotransmission Regulation
Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque),Functional_module_6,mcf04666;mcf04145,Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque);Phagosome - Macaca fascicularis (crab-eating macaque),20/553,99/10949;176/10949,0.202020202020202,3.99985387327159,6.91511891827307,8.44284552169596e-8,4.31992262526777e-6,2.14774140464196e-6,ENSMFAG00000003264/ENSMFAG00000027291/ENSMFAG00000038711/ENSMFAG00000030106/ENSMFAG00000045940/ENSMFAG00000044337/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000030691/ENSMFAG00000030983/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000038102/ENSMFAG00000026668/ENSMFAG00000031946/ENSMFAG00000044097/ENSMFAG00000003506/ENSMFAG00000035912/ENSMFAG00000044993/ENSMFAG00000045941/ENSMFAG00000035643/ENSMFAG00000031678/ENSMFAG00000003777/ENSMFAG00000026553/ENSMFAG00000003635/ENSMFAG00000000676/ENSMFAG00000044829/ENSMFAG00000046037/ENSMFAG00000043473/ENSMFAG00000033394/ENSMFAG00000032985/ENSMFAG00000009940/ENSMFAG00000040740/ENSMFAG00000004018/ENSMFAG00000031934/ENSMFAG00000000038/ENSMFAG00000003619,37,1,2,Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque)
cAMP signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_7,mcf04024;mcf04014;mcf04015,cAMP signaling pathway - Macaca fascicularis (crab-eating macaque);Ras signaling pathway - Macaca fascicularis (crab-eating macaque);Rap1 signaling pathway - Macaca fascicularis (crab-eating macaque),32/553,226/10949;240/10949;221/10949,0.141592920353982,2.80343740498328,6.31820865756655,1.08344360579126e-7,4.75167409968453e-6,2.36239583217643e-6,ENSMFAG00000003264/ENSMFAG00000002250/ENSMFAG00000035831/ENSMFAG00000042771/ENSMFAG00000003904/ENSMFAG00000040724/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000041776/ENSMFAG00000036156/ENSMFAG00000036522/ENSMFAG00000001655/ENSMFAG00000034151/ENSMFAG00000043366/ENSMFAG00000001913/ENSMFAG00000030983/ENSMFAG00000038064/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000046132/ENSMFAG00000034219/ENSMFAG00000040532/ENSMFAG00000017605/ENSMFAG00000037539/ENSMFAG00000011695/ENSMFAG00000039417/ENSMFAG00000001069/ENSMFAG00000046085/ENSMFAG00000000162/ENSMFAG00000043924/ENSMFAG00000020572/ENSMFAG00000007024/ENSMFAG00000027291/ENSMFAG00000032705/ENSMFAG00000002425/ENSMFAG00000041470/ENSMFAG00000032110/ENSMFAG00000043770/ENSMFAG00000031022/ENSMFAG00000041761/ENSMFAG00000038696/ENSMFAG00000034429/ENSMFAG00000003513/ENSMFAG00000033978/ENSMFAG00000043991/ENSMFAG00000039275/ENSMFAG00000034537/ENSMFAG00000003506/ENSMFAG00000045752/ENSMFAG00000000459/ENSMFAG00000044011/ENSMFAG00000031697/ENSMFAG00000034037/ENSMFAG00000043639/ENSMFAG00000038037/ENSMFAG00000034461/ENSMFAG00000003975/ENSMFAG00000039957/ENSMFAG00000034131/ENSMFAG00000040095/ENSMFAG00000043247,61,1,3,cAMP and Ras Pathway Integration in Cell Signaling and Angiogenesis
intracellular calcium ion homeostasis,Functional_module_132,GO:0006874;GO:0034702;GO:0055074;GO:0008066;GO:0034220;GO:0098655;GO:0050801;GO:0055080;GO:0006873;GO:0030003;GO:0098771;GO:0034703;GO:0004970;GO:0022836;GO:0005216;GO:0055082;GO:0019725;GO:0015267;GO:0048878;GO:0034705;GO:0015276;GO:0022834;GO:0022824;GO:0022835;GO:0005230,intracellular calcium ion homeostasis;monoatomic ion channel complex;calcium ion homeostasis;glutamate receptor activity;monoatomic ion transmembrane transport;monoatomic cation transmembrane transport;monoatomic ion homeostasis;monoatomic cation homeostasis;intracellular monoatomic ion homeostasis;intracellular monoatomic cation homeostasis;inorganic ion homeostasis;cation channel complex;glutamate-gated receptor activity;gated channel activity;monoatomic ion channel activity;intracellular chemical homeostasis;cellular homeostasis;channel activity;chemical homeostasis;potassium channel complex;ligand-gated monoatomic ion channel activity;ligand-gated channel activity;transmitter-gated monoatomic ion channel activity;transmitter-gated channel activity;extracellular ligand-gated monoatomic ion channel activity,28/1420,103/15876;155/15549;107/15876;26/15985;493/15876;429/15876;248/15876;242/15876;225/15876;225/15876;202/15876;135/15549;16/15985;279/15985;382/15985;247/15876;274/15876;428/15985;330/15876;60/15549;148/15985;148/15985;54/15985;54/15985;70/15985,0.271844660194175,3.03929987693149,6.50758011038413,5.96314706752962e-8,5.80696940623717e-6,4.92594805377885e-6,ENSMFAG00000034037/ENSMFAG00000039232/ENSMFAG00000033963/ENSMFAG00000036819/ENSMFAG00000000113/ENSMFAG00000039173/ENSMFAG00000000600/ENSMFAG00000034151/ENSMFAG00000042166/ENSMFAG00000034541/ENSMFAG00000039417/ENSMFAG00000001773/ENSMFAG00000031682/ENSMFAG00000020572/ENSMFAG00000043247/ENSMFAG00000032077/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000059465/ENSMFAG00000031605/ENSMFAG00000036449/ENSMFAG00000001913/ENSMFAG00000042661/ENSMFAG00000011695/ENSMFAG00000002422/ENSMFAG00000007024/ENSMFAG00000004450/ENSMFAG00000043573/ENSMFAG00000045036/ENSMFAG00000036517/ENSMFAG00000035942/ENSMFAG00000037862/ENSMFAG00000001940/ENSMFAG00000045895/ENSMFAG00000000121/ENSMFAG00000032985/ENSMFAG00000030817/ENSMFAG00000039113/ENSMFAG00000046358/ENSMFAG00000009940/ENSMFAG00000044500/ENSMFAG00000034219/ENSMFAG00000035511/ENSMFAG00000003543/ENSMFAG00000033709/ENSMFAG00000032021/ENSMFAG00000030419/ENSMFAG00000045995/ENSMFAG00000002921/ENSMFAG00000031591/ENSMFAG00000035688/ENSMFAG00000043008/ENSMFAG00000036524/ENSMFAG00000035773/ENSMFAG00000027151/ENSMFAG00000000748/ENSMFAG00000044291/ENSMFAG00000032548/ENSMFAG00000038894/ENSMFAG00000001652/ENSMFAG00000040844/ENSMFAG00000027682/ENSMFAG00000003981/ENSMFAG00000035505,64,6,25,Calcium Ion Homeostasis and Glutamate Signaling in Cellular Function
PI3K-Akt signaling pathway - Macaca fascicularis (crab-eating macaque),Functional_module_8,mcf04151;mcf04910;mcf04931,PI3K-Akt signaling pathway - Macaca fascicularis (crab-eating macaque);Insulin signaling pathway - Macaca fascicularis (crab-eating macaque);Insulin resistance - Macaca fascicularis (crab-eating macaque),44/553,379/10949;140/10949;107/10949,0.116094986807388,2.29859676411228,5.93407802348906,1.83965784632859e-7,6.2752773202542e-6,3.11988757564498e-6,ENSMFAG00000042352/ENSMFAG00000027291/ENSMFAG00000037310/ENSMFAG00000035831/ENSMFAG00000038158/ENSMFAG00000031678/ENSMFAG00000002611/ENSMFAG00000036813/ENSMFAG00000031556/ENSMFAG00000003635/ENSMFAG00000041470/ENSMFAG00000039466/ENSMFAG00000038574/ENSMFAG00000036522/ENSMFAG00000033394/ENSMFAG00000034461/ENSMFAG00000039013/ENSMFAG00000033615/ENSMFAG00000037140/ENSMFAG00000041761/ENSMFAG00000001164/ENSMFAG00000001740/ENSMFAG00000044377/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000034429/ENSMFAG00000003513/ENSMFAG00000032930/ENSMFAG00000037073/ENSMFAG00000043991/ENSMFAG00000037539/ENSMFAG00000003544/ENSMFAG00000034537/ENSMFAG00000033948/ENSMFAG00000002620/ENSMFAG00000041112/ENSMFAG00000045752/ENSMFAG00000042359/ENSMFAG00000040946/ENSMFAG00000000459/ENSMFAG00000001695/ENSMFAG00000001848/ENSMFAG00000031697/ENSMFAG00000028569/ENSMFAG00000050332/ENSMFAG00000044118/ENSMFAG00000036156/ENSMFAG00000002025/ENSMFAG00000038064/ENSMFAG00000045655/ENSMFAG00000000670/ENSMFAG00000035505/ENSMFAG00000001069/ENSMFAG00000001803/ENSMFAG00000031022/ENSMFAG00000017605/ENSMFAG00000008235,57,1,3,PI3K-Akt Signaling and Insulin Resistance in Metabolic Disorders
synaptic signaling,Functional_module_133,GO:0099536;GO:0098916;GO:0099537,synaptic signaling;anterograde trans-synaptic signaling;trans-synaptic signaling,53/1420,276/15876;262/15876;263/15876,0.192028985507246,2.14693815064299,6.02433633388736,7.23469087832985e-8,6.72497402099298e-6,5.70467491267349e-6,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000004075/ENSMFAG00000033914/ENSMFAG00000001940/ENSMFAG00000003495/ENSMFAG00000043573/ENSMFAG00000041327/ENSMFAG00000001652/ENSMFAG00000001913/ENSMFAG00000031490/ENSMFAG00000033872/ENSMFAG00000046358/ENSMFAG00000004661/ENSMFAG00000033709/ENSMFAG00000000666/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000003353/ENSMFAG00000046085/ENSMFAG00000031591/ENSMFAG00000040160/ENSMFAG00000007024,23,2,3,Synaptic Signaling and Plasticity in Neuropsychiatric Disorders
receptor complex,Functional_module_172,GO:0043235;GO:0098878,receptor complex;neurotransmitter receptor complex,44/1404,217/15549;26/15549,0.202764976958525,2.24557879396589,5.82131380855517,2.43894842910076e-7,7.83571178124455e-6,6.40368934251406e-6,ENSMFAG00000042352/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000003965/ENSMFAG00000031678/ENSMFAG00000031323/ENSMFAG00000036183/ENSMFAG00000040724/ENSMFAG00000003635/ENSMFAG00000037710/ENSMFAG00000044981/ENSMFAG00000044870/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000034429/ENSMFAG00000030822/ENSMFAG00000045614/ENSMFAG00000033709/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000034537/ENSMFAG00000045752/ENSMFAG00000001695/ENSMFAG00000031591/ENSMFAG00000007024/ENSMFAG00000004450,26,1,2,receptor complex
somatodendritic compartment,Functional_module_173,GO:0036477,somatodendritic compartment,42/1404,203/15549,0.206896551724138,2.29133510167993,5.83456822327061,2.55940334563264e-7,7.83571178124455e-6,6.40368934251406e-6,ENSMFAG00000036313/ENSMFAG00000042771/ENSMFAG00000035434/ENSMFAG00000045944/ENSMFAG00000033301/ENSMFAG00000034433/ENSMFAG00000037140/ENSMFAG00000041327/ENSMFAG00000003931/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000030986/ENSMFAG00000037495/ENSMFAG00000002837/ENSMFAG00000041030/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000044834/ENSMFAG00000039040/ENSMFAG00000038633/ENSMFAG00000027682/ENSMFAG00000037109,22,0,1,somatodendritic compartment
EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque),Functional_module_9,mcf01521,EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque),17/553,80/10949,0.2125,4.20734629294756,6.64037913655342,3.68956928423058e-7,1.02972524568981e-5,5.11949804988932e-6,ENSMFAG00000027291/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000033615/ENSMFAG00000044377/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000002201/ENSMFAG00000033978/ENSMFAG00000043991/ENSMFAG00000003544/ENSMFAG00000001069/ENSMFAG00000002620/ENSMFAG00000041112/ENSMFAG00000045752/ENSMFAG00000044011/ENSMFAG00000031697,17,0,1,EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque)
