ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
BP,GO:0007155,cell adhesion,92/1420,499/15876,0.1843687374749499,2.0612944198255665,7.549658648084712,1.1792280703600155e-11,2.1922921853511198e-9,1.8596821626347423e-9,SDK2/ASTN2/FAT4/NPTN/PARD3B/MDGA2/KIRREL3/NINJ2/SPP1/LOC102136630/ITGA2/DLG2/CTNND2/FAT1/CD4/PKP2/CNTN1/ASTN1/CTNNAL1/PCDH10/ADAM9/LRRC1/ITGAV/IGSF11/VWF/PCDH9/NECTIN3/FER/ROBO1/JAM3/NRCAM/NTNG1/ROBO2/THBS4/TNFRSF21/TLN2/TENM2/SIGLEC5/NLGN1/CDH19/CNTN5/TENM3/NFASC/TJP1/FLOT1/HMCN1/CDH2/DCC/CLDN1/SNED1/NCAM2/PARVB/SDK1/STAB1/ERBIN/THY1/VCAN/LAMA4/CDH20/VEZT/PLXNA4/CXADR/PAG1/PCDH15/ITGA8/CNTN6/CDH7/ITGA9/DSCAM/ABI3BP/CTNNA2/LRFN5/RADIL/PALLD/NTRK2/CD86/CYTIP/CX3CR1/DSP/EFNA5/DST/BOC/ITGB4/SPON1/CTNNB1/TNC/CTNNA1/CDHR3/JAM2/LPP/LIMS1/CDH11,92
BP,GO:0098609,cell-cell adhesion,67/1420,323/15876,0.20743034055727555,2.319129638512188,7.506865294838526,4.358448311471015e-11,6.9340148472984405e-9,5.882000498441811e-9,SDK2/ASTN2/FAT4/NPTN/MDGA2/KIRREL3/LOC102136630/ITGA2/DLG2/CTNND2/FAT1/PKP2/CNTN1/ASTN1/PCDH10/ADAM9/LRRC1/ITGAV/IGSF11/PCDH9/NECTIN3/ROBO1/JAM3/NRCAM/ROBO2/TNFRSF21/TLN2/TENM2/NLGN1/CDH19/CNTN5/TENM3/NFASC/TJP1/FLOT1/HMCN1/CDH2/DCC/SDK1/ERBIN/THY1/CDH20/VEZT/CXADR/PAG1/PCDH15/ITGA8/CNTN6/CDH7/ITGA9/DSCAM/CTNNA2/LRFN5/PALLD/NTRK2/CD86/DSP/EFNA5/DST/BOC/CTNNB1/CTNNA1/CDHR3/JAM2/LPP/LIMS1/CDH11,67
BP,GO:0007409,axonogenesis,42/1420,156/15876,0.2692307692307692,3.0100758396533043,7.907249478613231,4.4079311987716247e-11,6.9340148472984405e-9,5.882000498441811e-9,SEMA3E/PAK1/APP/NPTN/TIAM1/CNTN1/UNC5C/ULK2/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/CNTN5/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/UNC5D/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/EPHB1/EPHA4,42
BP,GO:0007411,axon guidance,33/1420,110/15876,0.3,3.354084507042254,7.764877345492084,2.4393667902075597e-10,3.325670057316306e-8,2.8211062949207428e-8,SEMA3E/NPTN/CNTN1/UNC5C/SEMA5A/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/CNTN5/NFASC/PTPRO/GAP43/DCC/EPHA3/EPHA5/UNC5D/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/EPHB1/EPHA4,33
BP,GO:0097485,neuron projection guidance,33/1420,110/15876,0.3,3.354084507042254,7.764877345492084,2.4393667902075597e-10,3.325670057316306e-8,2.8211062949207428e-8,SEMA3E/NPTN/CNTN1/UNC5C/SEMA5A/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/CNTN5/NFASC/PTPRO/GAP43/DCC/EPHA3/EPHA5/UNC5D/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/EPHB1/EPHA4,33
BP,GO:0061564,axon development,43/1420,180/15876,0.2388888888888889,2.6708450704225353,7.065695357951165,1.5784670586771793e-9,2.01747820937177e-7,1.711390600460521e-7,SEMA3E/PAK1/PLP1/APP/NPTN/TIAM1/CNTN1/UNC5C/ULK2/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/CNTN5/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/UNC5D/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/EPHB1/EPHA4,43
BP,GO:0050804,modulation of chemical synaptic transmission,29/1420,101/15876,0.2871287128712871,3.210179891228559,6.9836199283764975,9.020139539409019e-9,1.0247880754495248e-6,8.693093544412902e-7,GRIK2/GRIK4/GRIA2/DGKI/ERC2/GRID2/RIMS1/SHISA9/GRM5/NLGN1/OPHN1/DTNBP1/GRIA4/ERC1/GRIN2A/DLGAP1/GRM7/CDH2/SHISA6/GRM8/SYP/CASK/GRIA3/CALB2/RAP1B/NTRK2/NALCN/GRIN2B/GRIK1,29
BP,GO:0099177,regulation of trans-synaptic signaling,29/1420,101/15876,0.2871287128712871,3.210179891228559,6.9836199283764975,9.020139539409019e-9,1.0247880754495248e-6,8.693093544412902e-7,GRIK2/GRIK4/GRIA2/DGKI/ERC2/GRID2/RIMS1/SHISA9/GRM5/NLGN1/OPHN1/DTNBP1/GRIA4/ERC1/GRIN2A/DLGAP1/GRM7/CDH2/SHISA6/GRM8/SYP/CASK/GRIA3/CALB2/RAP1B/NTRK2/NALCN/GRIN2B/GRIK1,29
BP,GO:0050790,regulation of catalytic activity,78/1420,456/15876,0.17105263157894737,1.9124166048925129,6.195985377986253,1.5022989126266697e-8,1.6169480401692314e-6,1.3716280376779788e-6,RASGRF2/CAMK2N1/ERBB4/ARAP2/TIAM1/RASAL2/RGS7/RAPGEF5/PTPRD/DEPTOR/SERPINI1/RASGEF1C/ARHGAP22/APOE/TMBIM6/MNAT1/DBNDD2/RGL1/PTPRB/ARHGAP29/URI1/SEMA4D/RALGAPA1/ETAA1/IRAK3/SIPA1L1/XRCC4/RAP1GDS1/CD74/CCND1/RYK/CCPG1/CHN1/DTNBP1/PREX2/VAV3/CCNH/RALGPS1/PTPRO/RGS6/PRKAG2/ADGRV1/NRG1/DUSP10/CSF1R/SERPINA1/MUSK/MYO9A/RAPGEF4/NF1/RASGEF1B/PIK3R5/RAP1GAP2/P2RY13/PLXNA4/NEK10/SASH1/GNA13/SCARB2/RALGAPA2/FGFR1/ARHGEF26/FGFR2/NTRK2/RASAL3/ARHGAP12/CCND2/TBCK/RAB3GAP1/LGR5/PDGFB/CAMKK2/RASSF2/PCSK1N/ASAP1/AGT/DOCK9/SERPINI2,78
BP,GO:0034330,cell junction organization,40/1420,178/15876,0.2247191011235955,2.512422851717044,6.359720636682999,3.661646359376966e-8,3.744033402462948e-6,3.175996421185916e-6,GPHN/ABHD17B/KIRREL3/CTNND2/ERC2/PKP2/NEDD4/UNC13C/ROBO1/MYCBP2/CYFIP1/NLGN1/CDH19/CTTNBP2/ROCK2/ERC1/PCLO/TJP1/FLOT1/SYNDIG1/HMCN1/CDH2/PDZRN3/CLDN1/THY1/CDH20/PCDH15/UNC13B/CDH7/TMEM108/LRFN5/PALLD/NTRK2/DST/ITGB4/PPFIA2/CDHR3/LIMS1/SYBU/CDH11,40
BP,GO:0006874,intracellular calcium ion homeostasis,28/1420,103/15876,0.27184466019417475,3.0392998769314916,6.507580110384127,5.963147067529615e-8,5.806969406237173e-6,4.9259480537788505e-6,SLC24A3/PLCB4/TMEM178A/ATP13A3/STIM1/RYR3/PSEN1/ATP2C1/TRPC3/ATP2B2/PLCH1/TMEM165/ATP2B1/ATP13A4/TRPC1/HTR2A/MICU3/CLIC2/RYR2/TRPM2/CALB2/SLC24A2/MCUB/PLCE1/SLC24A4/PLCB1/PLCD1/CCDC47,28
BP,GO:0099536,synaptic signaling,53/1420,276/15876,0.19202898550724637,2.1469381506429883,6.0243363338873595,7.234690878329853e-8,6.724974020992976e-6,5.704674912673492e-6,GRIK2/DMD/GRIK4/GRIA2/DLG2/DGKI/ERC2/FCHSD2/NAPB/LRP6/UNC13C/APBA1/UTRN/GLRB/SYT1/GRID2/RIMS1/SHISA9/CEP89/GRM5/NLGN1/OPHN1/DTNBP1/SNAP25/GRIA4/ERC1/GRIN2A/DLGAP1/STX3/GABRG3/GRM7/CDH2/HTR2A/SHISA6/GRM8/CACNA1A/GABRB2/SYP/CASK/STXBP3/RIMBP2/GRIA3/GABRG1/UNC13B/CALB2/RAP1B/NTRK2/NALCN/GABRB1/LIN7A/GRIN2B/GRIK1/SV2A,53
BP,GO:0007268,chemical synaptic transmission,51/1420,262/15876,0.1946564885496183,2.1763143747984084,6.017192863611982,8.108630557521254e-8,6.9092289542212345e-6,5.860975069646942e-6,GRIK2/GRIK4/GRIA2/DLG2/DGKI/ERC2/FCHSD2/NAPB/LRP6/UNC13C/APBA1/GLRB/SYT1/GRID2/RIMS1/SHISA9/CEP89/GRM5/NLGN1/OPHN1/DTNBP1/SNAP25/GRIA4/ERC1/GRIN2A/DLGAP1/STX3/GABRG3/GRM7/CDH2/HTR2A/SHISA6/GRM8/CACNA1A/GABRB2/SYP/CASK/STXBP3/RIMBP2/GRIA3/GABRG1/UNC13B/CALB2/RAP1B/NTRK2/NALCN/GABRB1/LIN7A/GRIN2B/GRIK1/SV2A,51
BP,GO:0098916,anterograde trans-synaptic signaling,51/1420,262/15876,0.1946564885496183,2.1763143747984084,6.017192863611982,8.108630557521254e-8,6.9092289542212345e-6,5.860975069646942e-6,GRIK2/GRIK4/GRIA2/DLG2/DGKI/ERC2/FCHSD2/NAPB/LRP6/UNC13C/APBA1/GLRB/SYT1/GRID2/RIMS1/SHISA9/CEP89/GRM5/NLGN1/OPHN1/DTNBP1/SNAP25/GRIA4/ERC1/GRIN2A/DLGAP1/STX3/GABRG3/GRM7/CDH2/HTR2A/SHISA6/GRM8/CACNA1A/GABRB2/SYP/CASK/STXBP3/RIMBP2/GRIA3/GABRG1/UNC13B/CALB2/RAP1B/NTRK2/NALCN/GABRB1/LIN7A/GRIN2B/GRIK1/SV2A,51
BP,GO:0099537,trans-synaptic signaling,51/1420,263/15876,0.19391634980988592,2.168039415198415,5.986447276594694,9.204400007396253e-8,7.529199206050135e-6,6.386884720921696e-6,GRIK2/GRIK4/GRIA2/DLG2/DGKI/ERC2/FCHSD2/NAPB/LRP6/UNC13C/APBA1/GLRB/SYT1/GRID2/RIMS1/SHISA9/CEP89/GRM5/NLGN1/OPHN1/DTNBP1/SNAP25/GRIA4/ERC1/GRIN2A/DLGAP1/STX3/GABRG3/GRM7/CDH2/HTR2A/SHISA6/GRM8/CACNA1A/GABRB2/SYP/CASK/STXBP3/RIMBP2/GRIA3/GABRG1/UNC13B/CALB2/RAP1B/NTRK2/NALCN/GABRB1/LIN7A/GRIN2B/GRIK1/SV2A,51
BP,GO:0030036,actin cytoskeleton organization,65/1420,371/15876,0.1752021563342318,1.9588094605368058,5.856799401536343,9.688237205888204e-8,7.6201711869389926e-6,6.46405462158047e-6,PAK1/KANK1/ANLN/ELMO1/FCHSD2/SSH2/STARD13/MYO6/CALD1/COBL/ERMN/FMN2/ARPC2/RTKN/GSN/FER/PDLIM3/CYFIP1/MYH10/CSRP1/WASF1/CAPZA1/AMOTL1/PPP1R9A/OPHN1/ADD3/ARPC5/ROCK2/NCKAP1/SPTAN1/MYO1D/MYO1E/DAAM1/SSH1/ACTR3/THSD7B/PHACTR1/TESK2/RFLNB/EPB41L2/PARVB/SPECC1/SPTBN1/FMNL2/FMNL3/TNNT2/SHROOM4/ACTR2/MYO5A/FMN1/IQANK1/PALLD/EFNA5/CARMIL1/DPYSL3/BAIAP2/PLEK/PHACTR2/CORO1C/EPB41L3/RHOBTB1/EPB41L1/DAAM2/HIP1/EPB41,65
BP,GO:0055074,calcium ion homeostasis,28/1420,107/15876,0.2616822429906542,2.9256811899433988,6.263991646533832,1.4401677371710054e-7,1.0907937120424838e-5,9.253007527710788e-6,SLC24A3/PLCB4/TMEM178A/ATP13A3/STIM1/RYR3/PSEN1/ATP2C1/TRPC3/ATP2B2/PLCH1/TMEM165/ATP2B1/ATP13A4/TRPC1/HTR2A/MICU3/CLIC2/RYR2/TRPM2/CALB2/SLC24A2/MCUB/PLCE1/SLC24A4/PLCB1/PLCD1/CCDC47,28
BP,GO:0030029,actin filament-based process,66/1420,384/15876,0.171875,1.9216109154929577,5.729760211675314,1.618051245239421e-7,1.1817552844695057e-5,1.0024618241182577e-5,PAK1/KANK1/ANLN/ELMO1/FCHSD2/SSH2/STARD13/MYO6/CALD1/COBL/ERMN/FMN2/ARPC2/RTKN/GSN/FER/PDE4D/PDLIM3/CYFIP1/MYH10/CSRP1/WASF1/CAPZA1/AMOTL1/PPP1R9A/OPHN1/ADD3/ARPC5/ROCK2/NCKAP1/SPTAN1/MYO1D/MYO1E/DAAM1/SSH1/ACTR3/THSD7B/PHACTR1/TESK2/RFLNB/EPB41L2/PARVB/SPECC1/SPTBN1/FMNL2/FMNL3/TNNT2/SHROOM4/ACTR2/MYO5A/FMN1/IQANK1/PALLD/EFNA5/CARMIL1/DPYSL3/BAIAP2/PLEK/PHACTR2/CORO1C/EPB41L3/RHOBTB1/EPB41L1/DAAM2/HIP1/EPB41,66
BP,GO:0050808,synapse organization,25/1420,90/15876,0.2777777777777778,3.1056338028169015,6.278342715597277,1.913466033067975e-7,1.3493234612496583e-5,1.1446069047172499e-5,GPHN/ABHD17B/KIRREL3/CTNND2/ERC2/NEDD4/UNC13C/ROBO1/MYCBP2/CYFIP1/NLGN1/CTTNBP2/ERC1/PCLO/SYNDIG1/HMCN1/CDH2/PDZRN3/UNC13B/TMEM108/LRFN5/PALLD/NTRK2/PPFIA2/SYBU,25
BP,GO:0043085,positive regulation of catalytic activity,48/1420,247/15876,0.19433198380566802,2.172686320351257,5.8215912542927155,2.0441111223249988e-7,1.393402415051541e-5,1.1819982910847713e-5,RASGRF2/ERBB4/ARAP2/TIAM1/RGS7/RAPGEF5/RASGEF1C/ARHGAP22/APOE/MNAT1/RGL1/ARHGAP29/SEMA4D/RALGAPA1/ETAA1/SIPA1L1/XRCC4/RAP1GDS1/CD74/RYK/CHN1/PREX2/RALGPS1/RGS6/NRG1/CSF1R/MUSK/MYO9A/RAPGEF4/RASGEF1B/PIK3R5/RAP1GAP2/NEK10/SASH1/GNA13/RALGAPA2/FGFR1/ARHGEF26/FGFR2/NTRK2/TBCK/RAB3GAP1/LGR5/PDGFB/CAMKK2/RASSF2/ASAP1/DOCK9,48
BP,GO:0001764,neuron migration,12/1420,24/15876,0.5,5.590140845070422,7.052881225920114,2.443161082158885e-7,1.6116981977467483e-5,1.3671746904576716e-5,ASTN2/ASTN1/ABI2/ABI1/DCLK1/SHTN1/DCC/SEMA6A/RELN/NAV1/DISC1/ABI3,12
BP,GO:0035249,"synaptic transmission, glutamatergic",16/1420,42/15876,0.38095238095238093,4.2591549295774644,6.628439553522895,2.716120164255689e-7,1.735770542469651e-5,1.4724230364122946e-5,GRIK2/GRIK4/GRIA2/DGKI/NAPB/UNC13C/GRID2/GRM5/OPHN1/GRIA4/GRM7/CDH2/GRM8/GRIA3/UNC13B/GRIK1,16
BP,GO:0044093,positive regulation of molecular function,56/1420,314/15876,0.17834394904458598,1.9939355880505965,5.575288287260529,4.1000264475105914e-7,2.5407739651997452e-5,2.155293009728056e-5,RASGRF2/ERBB4/ARAP2/TIAM1/RGS7/RAPGEF5/RASGEF1C/ARHGAP22/APOE/MNAT1/RGL1/LRP6/TRIM37/STIM1/ARHGAP29/SEMA4D/RALGAPA1/ETAA1/IRAK3/SIPA1L1/XRCC4/RAP1GDS1/CD74/RYK/MAP3K13/CHN1/PREX2/RALGPS1/IL1RAP/RGS6/NRG1/CSF1R/MUSK/MYO9A/RAPGEF4/RASGEF1B/PIK3R5/RAP1GAP2/NEK10/SASH1/GNA13/TRIM22/RALGAPA2/FGFR1/STAC2/ARHGEF26/FGFR2/NTRK2/TBCK/RAB3GAP1/LGR5/PDGFB/CAMKK2/RASSF2/ASAP1/DOCK9,56
BP,GO:0070588,calcium ion transmembrane transport,30/1420,127/15876,0.23622047244094488,2.641011422867916,5.8192088273613205,5.890300243745482e-7,3.443246113706647e-5,2.9208439559328554e-5,SLC24A3/PLCB4/CACNA1D/STIM1/RYR3/CACNB2/ATP2C1/TRPC3/ATP2B2/PLCH1/TMEM165/ATP2B1/CACNA1C/TRPM8/TRPC1/HTR2A/CACNA1A/MICU3/CLIC2/RYR2/TRPM2/STAC2/SLC24A2/MCUB/PLCE1/SLC8A1/ITPR2/SLC24A4/PLCB1/PLCD1,30
BP,GO:0043087,regulation of GTPase activity,34/1420,154/15876,0.22077922077922077,2.468373879641485,5.738786714690289,5.893086258177636e-7,3.443246113706647e-5,2.9208439559328554e-5,RASGRF2/ARAP2/TIAM1/RASAL2/RGS7/RAPGEF5/RASGEF1C/ARHGAP22/RGL1/ARHGAP29/SEMA4D/RALGAPA1/SIPA1L1/RAP1GDS1/CCPG1/CHN1/PREX2/VAV3/RALGPS1/RGS6/MYO9A/RAPGEF4/NF1/RASGEF1B/RAP1GAP2/PLXNA4/RALGAPA2/ARHGEF26/RASAL3/ARHGAP12/TBCK/RAB3GAP1/ASAP1/DOCK9,34
