category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Human Diseases,Cancer: specific types,mcf05223,Non-small cell lung cancer - Macaca fascicularis (crab-eating macaque),24/1097,71/10949,0.3380281690140845,3.373810777151514,6.695904499728306,4.2528486550217936e-8,1.299051952806657e-6,6.837115541087668e-7,102140874/102141214/102142026/102145859/101866246/102117260/101866436/102135875/102123512/102128641/102115080/102138313/102138724/102116992/101925779/102127304/102135329/102117471/102135998/102122725/102145011/102118276/102115733/102140196,24
Environmental Information Processing,Signal transduction,mcf04015,Rap1 signaling pathway - Macaca fascicularis (crab-eating macaque),48/1097,221/10949,0.2171945701357466,2.1677879201607015,5.852066323621715,1.632769014814142e-7,4.571753241479597e-6,2.4061859165682093e-6,102128018/102140241/101865181/102124860/102141214/102142026/102140481/102128245/102114934/102141609/102132043/101866246/102143429/101866436/102135875/102115986/102123512/102146984/102119905/101925060/102115306/102138724/102136095/102122323/102116992/101867161/101925220/101925741/102127304/101926770/102120135/102137533/101865168/102145680/102144714/102124214/102122725/102118376/102123994/102145011/102127679/102137242/101925934/101865530/102143086/102115718/102124166/102140615,48
Human Diseases,Cardiovascular disease,mcf05417,Lipid and atherosclerosis - Macaca fascicularis (crab-eating macaque),49/1097,229/10949,0.21397379912663755,2.1356418656677802,5.795224298481639,1.971649371375922e-7,5.09595529832546e-6,2.6820817359607683e-6,102121781/102117212/101865181/102135896/102128025/102142026/102133054/102134477/102129994/102117377/101866246/102118154/101867077/101864918/102115793/102133756/102125035/102135875/102140826/101925657/102117645/101926738/101925060/101866865/101925550/101867458/102116193/101865975/102115964/102118497/101925220/102119008/101926770/102135853/102117938/101865168/102135998/102122725/102145011/102144774/102142532/101925934/102127213/102137473/101865389/102135101/102124562/101926577/102140615,49
Organismal Systems,Nervous system,mcf04722,Neurotrophin signaling pathway - Macaca fascicularis (crab-eating macaque),32/1097,123/10949,0.2601626016260163,2.596645692983822,5.942040461088552,2.879405970899133e-7,6.910574330157919e-6,3.6371443842936417e-6,102135140/102141214/102134699/102142026/101866246/102133756/101866436/101925657/102115306/102138313/101867458/102140490/102115803/101925779/102118497/101865745/102118759/102138674/101926770/102117938/102137533/101865168/102117471/102135998/102122725/102145011/102118276/101925345/101925934/102136158/101864901/102136833,32
Organismal Systems,Development and regeneration,mcf04380,Osteoclast differentiation - Macaca fascicularis (crab-eating macaque),34/1097,136/10949,0.25,2.4952142206016408,5.8547489599206015,3.4509254355161013e-7,7.730072975556066e-6,4.068459460818982e-6,102141214/102142026/102138947/102134477/101866246/102121325/102134473/102134363/101926738/101925060/101867458/101865975/102115964/102118497/102145713/102115744/101867359/101926770/101925134/102117471/102115287/102138221/102124214/102122725/102121794/102145011/102145729/102118276/101865389/102134273/102136845/101867233/102124562/101864901,34
Cellular Processes,Cell growth and death,mcf04218,Cellular senescence - Macaca fascicularis (crab-eating macaque),39/1097,168/10949,0.23214285714285715,2.3169846334158097,5.740032244665759,3.9320326359630884e-7,8.257268535522485e-6,4.345930808169729e-6,102132718/102140874/102141214/102114767/102142026/102145859/102134477/101926636/101866246/102121788/102143687/102115080/101926738/102136323/102146086/101925060/101867036/101925779/102134282/102125414/102115744/102131296/102127304/102135329/102143724/101926770/101865168/101925163/102115287/102135998/102122725/102122692/102145011/101865389/102134273/102135719/102134009/102116568/102116382,39
Human Diseases,Drug resistance: antineoplastic,mcf01521,EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque),24/1097,80/10949,0.3,2.994257064721969,5.973650983473694,5.369303687126363e-7,1.0612270816908576e-5,5.5854056931097765e-6,102128018/102140241/102141214/102142026/102132043/101866246/102133756/101866436/102135875/102123512/102138313/102138724/102116992/101867161/101867036/101867475/101925779/101865745/102119008/102117471/102122725/102145011/102118276/102143086,24
Human Diseases,Cancer: overview,mcf05206,MicroRNAs in cancer - Macaca fascicularis (crab-eating macaque),37/1097,158/10949,0.23417721518987342,2.337289269930651,5.649780348958788,6.185228634305639e-7,1.1225915733546685e-5,5.908376701866675e-6,102140874/102140241/102141214/102142026/101864989/102141609/102132657/102114969/101866246/101867139/102135814/102135875/102123512/102136323/102118652/102138313/102138724/102116992/101865058/101867161/101867036/101867452/102115803/102129859/102140851/102135329/101865352/102131731/102117471/102135998/102122725/102125039/102145011/102141221/102118276/102134009/101867504,37
Environmental Information Processing,Signal transduction,mcf04071,Sphingolipid signaling pathway - Macaca fascicularis (crab-eating macaque),31/1097,121/10949,0.256198347107438,2.5570790359884583,5.746954063152454,6.347988063612708e-7,1.1225915733546685e-5,5.908376701866675e-6,102124671/101865955/102141214/102142026/102133054/101866246/102125257/102135875/102125635/101926756/102119905/101925657/101865477/102116992/102144364/101867036/102138311/101925723/102118497/102140851/101925220/102134999/101926197/101926770/102135998/102122725/102121794/102127819/102145011/101864870/102140615,31
Cellular Processes,Transport and catabolism,mcf04140,Autophagy - animal - Macaca fascicularis (crab-eating macaque),40/1097,178/10949,0.2247191011235955,2.2428891870576546,5.57857022527864,6.918659204693765e-7,1.1623347463885525e-5,6.117551296781855e-6,101926561/102140795/102141214/102128025/101866640/102142026/101867183/102117377/101866246/102129478/101925628/102144683/102136293/102125635/101925212/101926188/102125971/101866092/101865725/101926461/102116193/101867036/102118497/102140446/102130837/102132060/101926563/101867315/101926569/102122725/101866278/102122718/102145011/102144774/102119735/101865895/101865389/102118605/102136158/101926715,40
Organismal Systems,Immune system,mcf04610,Complement and coagulation cascades - Macaca fascicularis (crab-eating macaque),25/1097,87/10949,0.28735632183908044,2.8680623225306214,5.8372002819678785,7.720923140500364e-7,1.18716420800009e-5,6.248232673684684e-6,102119374/102118738/102130928/102133702/102135466/102124671/102140557/102136369/102135485/102142263/102117641/102132631/102146175/102125658/102146832/102137382/101866929/102137207/101866354/102123546/102137096/102119734/101866962/102120463/102143442,25
Human Diseases,Cancer: specific types,mcf05214,Glioma - Macaca fascicularis (crab-eating macaque),23/1097,76/10949,0.3026315789473684,3.0205224775704074,5.89799357165448,7.77309898095297e-7,1.18716420800009e-5,6.248232673684684e-6,102128018/102140874/102141214/102142026/102145859/101866246/101866436/102135875/102115080/102136323/102138313/102138724/102116992/101867161/101867036/102135329/101865168/102117471/102135998/102122725/102145011/102118276/101864901,23
Human Diseases,Cancer: specific types,mcf05220,Chronic myeloid leukemia - Macaca fascicularis (crab-eating macaque),23/1097,77/10949,0.2987012987012987,2.9812949129266357,5.821679220463526,1.0047468735218326e-6,1.4156931995624859e-5,7.451016839802557e-6,102140874/102141214/102142026/102145859/101866246/101866436/102115080/102136323/102146086/102138313/101867458/102115803/102115964/102135329/102115287/102135998/102122725/102139452/102121794/102125039/102145011/102118276/102134273,23
Genetic Information Processing,"Folding, sorting and degradation",mcf04120,Ubiquitin mediated proteolysis - Macaca fascicularis (crab-eating macaque),37/1097,161/10949,0.22981366459627328,2.293737295956788,5.518195388103139,1.0112094282589185e-6,1.4156931995624859e-5,7.451016839802557e-6,102140795/101865249/102144800/102140439/101925366/102129529/102138693/102136629/101866371/102123009/101926817/102135696/102143687/102123469/102131393/101926366/102136323/102143286/102135339/101867310/101867444/102126628/101864887/101867410/102138168/101865827/101926376/102134577/101925594/101925744/102141097/102139788/101867463/101925768/102114921/102138808/101925095,37
Human Diseases,Cancer: specific types,mcf05215,Prostate cancer - Macaca fascicularis (crab-eating macaque),28/1097,106/10949,0.2641509433962264,2.6364527613904127,5.649242056267761,1.1323128034072593e-6,1.4768002565537206e-5,7.772632929230109e-6,102128018/102141214/102142026/102145859/102132043/101866246/102133756/101866436/101867139/102146984/102136323/102138313/102138724/101866865/101867161/101867458/102116470/101867036/102115964/102135329/102131731/102117938/102144714/102135998/102122725/102145011/102118276/102143086,28
Environmental Information Processing,Signal transduction,mcf04151,PI3K-Akt signaling pathway - Macaca fascicularis (crab-eating macaque),68/1097,379/10949,0.17941952506596306,1.7907606015927344,5.22800074795953,1.1427621032856171e-6,1.4768002565537206e-5,7.772632929230109e-6,102130928/102128018/102131342/102135001/102130741/102140874/102140241/102132631/101865955/102141214/101866184/102142026/102141609/102114969/102117291/102132043/101866246/102125257/102141308/102133756/102132675/102144683/102135875/102123512/102131212/101925838/101865477/102127262/102136323/101925870/102115306/102138313/102138724/101866865/101925550/102144364/102120608/101867161/101867036/102115184/102129690/102115964/101925779/102138311/101925723/102145713/102125173/102119008/102135329/101926197/102117938/102143679/102116249/102145776/102144714/102135998/102124214/101866211/102122725/101925341/102123994/102145011/102141221/102118276/102137242/102133649/101925271/102143086,68
Cellular Processes,Cell motility,mcf04810,Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque),47/1097,231/10949,0.20346320346320346,2.0307371146022013,5.283303195756185,1.5997648229268901e-6,1.9908184463090188e-5,1.0477991822679046e-5,102124671/102130741/101926387/101865181/102141214/102142026/102133054/102125658/102136171/102137382/102114969/102132043/101866246/102129759/101866436/102132675/102131974/101866800/102138313/102138724/101925550/101867161/102124268/101864805/102137950/101866132/101925728/102140851/101865352/102117163/102116249/102144714/102115437/102117220/102122725/102114959/102121021/102127819/102145011/101925934/102129121/101925271/102116640/102124103/101865530/102127552/102143086,47
Human Diseases,Infectious disease: viral,mcf05163,Human cytomegalovirus infection - Macaca fascicularis (crab-eating macaque),49/1097,246/10949,0.1991869918699187,1.9880568586907383,5.230042699917303,1.835766184663344e-6,2.2029194215960126e-5,1.159431274524217e-5,102140874/102140241/102141214/102142026/102133054/102145859/102134477/102146944/101866246/102133756/102135875/102146984/102143455/101925838/102119905/101926738/102136323/101925060/102138313/102138724/101925550/102116992/101926461/101867458/102124268/102115964/102125173/102140851/101925220/101925741/102115744/102135329/101926770/102117938/101865168/102116249/102135998/102130539/102122725/101925341/102127819/102145011/102144774/102118276/101865389/102142346/102127536/101867173/102140615,49
Human Diseases,Cancer: specific types,mcf05211,Renal cell carcinoma - Macaca fascicularis (crab-eating macaque),21/1097,70/10949,0.3,2.994257064721969,5.585270064955778,2.7304068868306762e-6,3.1635059102589906e-5,1.6650031106626265e-5,102140241/102141214/102142026/101866246/101866436/102123512/101926366/102118770/101866092/102138313/101866132/101865745/101865926/102131296/102131731/102137533/102115437/102122725/102145011/102118276/101925934,21
Organismal Systems,Immune system,mcf04666,Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque),26/1097,99/10949,0.26262626262626265,2.621235140834047,5.407010879622822,3.053404882391967e-6,3.4198134682790027e-5,1.7999018254100015e-5,101865181/102141214/102143982/102142026/102136171/102120139/102135864/101866246/102118154/102135875/102131974/102116992/102143695/102134197/101866132/102145713/102145183/102117163/102117471/102122725/102121794/102145011/101925934/102118932/102136158/102124562,26
Human Diseases,Cancer: specific types,mcf05225,Hepatocellular carcinoma - Macaca fascicularis (crab-eating macaque),37/1097,169/10949,0.21893491124260356,2.18515801567481,5.181061370620977,3.4665785699661254e-6,3.757323869382639e-5,1.9775388786224416e-5,102123741/102140874/101925399/102141214/101925101/102142026/102145859/102146648/101866246/102116616/102133756/101866436/102135875/102123512/102118238/102146984/102117319/102115080/102146086/102138313/102138724/102116992/102116470/101867036/101865745/102124818/102135329/102138414/102117471/101925163/102115287/102135998/102122725/102145011/102118276/102134273/102129027,37
Organismal Systems,Immune system,mcf04611,Platelet activation - Macaca fascicularis (crab-eating macaque),30/1097,125/10949,0.24,2.395405651777575,5.235643880768317,4.135444977841033e-6,4.3422172267330845e-5,2.285377487754255e-5,102119374/102118738/102132631/102142026/102133054/102128245/101866246/102118154/102119905/101926461/101864805/102143695/102145713/102140851/101925220/101925741/102115744/101926770/102117471/102122483/102122725/102118376/102114959/102127819/102145011/102125232/101865389/102145693/102115718/102140615,30
Human Diseases,Neurodegenerative disease,mcf05017,Spinocerebellar ataxia - Macaca fascicularis (crab-eating macaque),34/1097,151/10949,0.2251655629139073,2.2473452582902196,5.150056565023656,4.46357552345425e-6,4.381626735457098e-5,2.306119334451104e-5,101925440/102142026/101926470/102124843/101866246/102130095/101926640/102135875/102136293/101925657/101926424/101865995/102142259/102116992/101926612/102116193/102129690/102118497/102140446/102134282/101925220/102115744/101867359/102125634/101865381/102122725/101866278/102117440/102137340/101865895/101865389/102123783/102116568/102140615,34
Organismal Systems,Endocrine system,mcf04912,GnRH signaling pathway - Macaca fascicularis (crab-eating macaque),25/1097,95/10949,0.2631578947368421,2.6265412848438325,5.313008266259985,4.526886115383983e-6,4.381626735457098e-5,2.306119334451104e-5,102141214/101865276/102138136/102125035/102135875/101925060/102138313/102138724/102116992/101926461/102143695/102118497/101925220/101925741/102115744/101926770/102117938/101865168/102130539/102145011/102118276/101925934/101865389/102136158/102140615,25
Human Diseases,Endocrine and metabolic disease,mcf04933,AGE-RAGE signaling pathway in diabetic complications - Macaca fascicularis (crab-eating macaque),26/1097,101/10949,0.25742574257425743,2.5693294944808973,5.2869900405395445,4.564194516101144e-6,4.381626735457098e-5,2.306119334451104e-5,102131342/102140241/102142026/101866246/102135814/102135875/102127262/102146086/102116992/102118497/101925220/102119008/102135329/101926770/101925134/102117471/101925163/102115287/102122144/102122725/102145011/102125232/101925934/102134273/102136158/102140615,26
Environmental Information Processing,Signal transduction,mcf04012,ErbB signaling pathway - Macaca fascicularis (crab-eating macaque),23/1097,84/10949,0.27380952380952384,2.7328536701827497,5.319798403497648,5.249932565655614e-6,4.899937061278574e-5,2.5789142427781964e-5,102119641/102141214/102142026/101866246/102141308/102133756/101866436/102125035/102135875/102138313/102138724/101925550/102116992/102115803/101866132/102118497/101865745/102117471/102115437/102122725/102145011/102120560/102118276,23
Genetic Information Processing,"Folding, sorting and degradation",mcf04141,Protein processing in endoplasmic reticulum - Macaca fascicularis (crab-eating macaque),37/1097,175/10949,0.21142857142857144,2.1102383122802446,4.9403219886658185,8.146746760051861e-6,7.398126787506555e-5,3.8937509407929234e-05,101926002/102134770/102140439/102134204/102137962/101864904/102146944/102117377/102114804/102136287/102145595/101866175/101925902/102134370/102123533/102140826/101925657/101866865/102128035/102116193/102122421/102118497/102118665/101865233/101865434/102123550/102129494/102135853/102117938/101867031/102115353/101866509/101864872/102122692/101925285/102140650/102115138,37
Organismal Systems,Nervous system,mcf04728,Dopaminergic synapse - Macaca fascicularis (crab-eating macaque),31/1097,136/10949,0.22794117647058823,2.27504825996032,4.99265414346278,8.957628151020518e-6,7.770003487220795e-5,4.089475519589892e-5,101865955/102134477/102125257/102119567/101925100/102133756/102135875/102123532/101925838/102119905/101865477/101865995/101926738/102131896/102116992/101926461/102144364/102138311/101925723/102118497/102125173/101925220/102115744/101926197/101926770/102117938/101865168/101925341/101865389/102140196/102140615,31
Human Diseases,Infectious disease: viral,mcf05161,Hepatitis B - Macaca fascicularis (crab-eating macaque),36/1097,169/10949,0.21301775147928995,2.126099690926842,4.9228807728286545,9.018754047666994e-6,7.770003487220795e-5,4.089475519589892e-5,102144792/102141214/102142026/102145859/101866246/101866436/102125035/102135875/101925838/102146086/101925060/102138313/102116992/101867458/102115184/101865975/102115964/102118497/102119008/101926770/102131731/102117938/101925134/102115287/102135998/102130539/102122725/102145011/102144774/102118276/102139788/102137473/102134273/102135560/101925110/102116568,36
Organismal Systems,Endocrine system,mcf04926,Relaxin signaling pathway - Macaca fascicularis (crab-eating macaque),30/1097,130/10949,0.23076923076923078,2.303274665170745,4.987955557339546,9.600535675587183e-6,8.064449967493234e-5,4.244447351312228e-5,102131342/102140241/102141214/102142026/101866246/102125035/102135875/101925838/102119905/102127262/102138313/102138724/101926461/101867458/102118497/102125173/101925209/101925220/101925741/101926770/102117938/101925163/102115287/102122725/101925341/102145011/102125232/102118276/102134273/102140615,30
Human Diseases,Cardiovascular disease,mcf05418,Fluid shear stress and atherosclerosis - Macaca fascicularis (crab-eating macaque),33/1097,150/10949,0.22,2.195788514129444,4.920585053615425,1.036857297754997e-5,8.497172001114121e-5,4.472195790060064e-5,102140241/101925101/102142026/102146648/102145988/102132657/102138665/101866246/102122481/102125035/102144683/102146984/102117319/102134051/101925657/101925060/101866865/101925550/102115964/102135088/102118497/102118759/102116284/102117792/102138414/101926770/101865168/102116249/102135998/102122725/102134170/102124562/102116382,33
Human Diseases,Cancer: specific types,mcf05218,Melanoma - Macaca fascicularis (crab-eating macaque),20/1097,70/10949,0.2857142857142857,2.8516733949733037,5.185939248238934,1.0666027496873038e-5,8.532821997498431e-5,4.4909589460518055e-5,102128018/102140874/102141214/102142026/102145859/102132043/101866246/102121325/101866436/102123512/102115080/102136323/102138724/101867161/101867036/102135329/102144714/102135998/102122725/102145011,20
Organismal Systems,Endocrine system,mcf04935,"Growth hormone synthesis, secretion and action - Macaca fascicularis (crab-eating macaque)",29/1097,127/10949,0.2283464566929134,2.279093303856617,4.837921615864102,1.6675478991735e-5,1.3030141723774325e-4,6.857969328302277e-5,102128018/102141214/102142026/101866246/102133756/102125035/102135875/101925838/102119905/101925060/102138313/101925550/102116992/101926461/102118497/101925220/101925741/102119008/102115744/101926770/102131731/102117938/101925134/102117471/102122725/102145011/102118276/101865389/102140615,29
Human Diseases,Infectious disease: viral,mcf05160,Hepatitis C - Macaca fascicularis (crab-eating macaque),35/1097,168/10949,0.20833333333333334,2.079345183834701,4.704288874097885,1.984246149281281e-5,1.5152425139966147e-4,7.974960599982181e-5,102133372/102140874/102141214/102142026/101867183/102145859/102117377/101866246/102125257/102136275/102133756/101866436/101926817/102146984/102131212/102137059/101865477/102138313/102138724/101867458/102115184/102115964/102122176/102139656/102135329/101926197/102132060/101925134/102135998/102122725/102145011/102144774/102118276/101926076/102137473,35
Human Diseases,Cancer: overview,mcf05207,Chemical carcinogenesis - receptor activation - Macaca fascicularis (crab-eating macaque),39/1097,196/10949,0.1989795918367347,1.9859868286421223,4.647750783822825,2.0888965030820226e-5,1.5597093889679103e-4,8.208996784041631e-5,102133372/102134633/102128580/102140241/102141214/101925101/102134699/102142026/102145859/102146648/101864989/102115223/102129994/102115311/101866246/102135875/102117319/102131393/101925838/102119905/102118770/102138313/102138724/101866865/102116992/101926461/101865417/101925859/102119797/101925741/102119008/102135329/102138414/101925378/102117938/102122725/102145011/102118276/107126976,39
Human Diseases,Infectious disease: bacterial,mcf05135,Yersinia infection - Macaca fascicularis (crab-eating macaque),31/1097,142/10949,0.21830985915492956,2.1789194602436863,4.7182857546105375,2.2392505285780205e-5,1.6356264730482933e-4,8.608560384464701e-5,101865181/102141214/102134699/102142026/102133054/102114969/102117291/101866246/102133756/102125035/102131974/101866800/101925562/101925060/101925595/101925550/101867458/101865975/102115964/102137950/102118497/102140851/102117163/101926770/102130539/102122725/102145011/102144774/102142532/101925934/102135101,31
Organismal Systems,Immune system,mcf04621,NOD-like receptor signaling pathway - Macaca fascicularis (crab-eating macaque),39/1097,197/10949,0.19796954314720813,1.9759056772276955,4.612165005343239,2.358935169908747e-5,1.6863876959347638e-4,8.875724715446123e-5,102128025/102114767/102146549/102136355/102117291/102131393/102125971/101925205/101866865/101867458/101865975/102115964/102118497/102146083/102134282/102147203/101925220/102115744/102138168/102131155/101926770/102134229/101925134/101926564/102145011/102144774/102142532/102131288/102138546/102143877/102129455/101865389/101925453/102136158/101926715/102135101/102116568/101925999/102140615,39
Genetic Information Processing,Translation,mcf03015,mRNA surveillance pathway - Macaca fascicularis (crab-eating macaque),24/1097,99/10949,0.24242424242424243,2.4196016684621973,4.734539409352416,3.109490944665039e-5,2.1766436612655275e-4,1.1456019269818564e-4,102121820/101865955/102116951/102134259/102125257/101865477/101925354/102144364/101866893/102138311/101925723/102140949/102125723/101926197/102142011/102118439/102117035/102132442/101926254/102137351/102146350/102116584/101925735/101865574,24
Human Diseases,Cancer: specific types,mcf05213,Endometrial cancer - Macaca fascicularis (crab-eating macaque),17/1097,58/10949,0.29310344827586204,2.925423568981234,4.9058572613519305,3.367387693762687e-5,2.3090658471515568e-4,1.2152978142902931e-4,102141214/102142026/101866246/102133756/101866436/102146984/102115080/102138313/102138724/102116470/101867036/101925779/102135329/102135998/102122725/102145011/102118276,17
Organismal Systems,Immune system,mcf04664,Fc epsilon RI signaling pathway - Macaca fascicularis (crab-eating macaque),19/1097,70/10949,0.2714285714285714,2.709089725224638,4.786608431522089,3.896278373378049e-5,2.6182990669100487e-4,1.3780521404789729e-4,101865181/102141214/102142026/101866246/102118154/102125035/102135875/101925060/102138313/102143695/102134197/102118497/102145713/101926770/102117471/102122725/102121794/102145011/102118276,19
Human Diseases,Cancer: specific types,mcf05212,Pancreatic cancer - Macaca fascicularis (crab-eating macaque),21/1097,82/10949,0.25609756097560976,2.5560731040309492,4.719441372814947,4.0239308537025185e-5,2.6510603271451884e-4,1.3952949090237837e-4,102140874/102140241/102141214/102142026/102145859/101866246/101866436/102115080/102146086/102138724/102115964/102118497/102135329/101925134/101925163/102115287/102135998/102122725/102145011/101925934/102134273,21
Organismal Systems,Development and regeneration,mcf04360,Axon guidance - Macaca fascicularis (crab-eating macaque),36/1097,181/10949,0.19889502762430938,1.985142805340532,4.459431123049278,4.3319641328909897e-5,2.799115285868024e-4,1.4732185715094862e-4,102115903/102130897/102142026/102133054/102134477/102114934/102141609/102136171/102132657/101866246/102129759/102133756/102135875/102123512/102119905/101926738/102139501/101925550/102124268/102124656/102115803/101866132/102140851/102141156/102125143/102117471/102115437/102122725/102145011/102136429/102120560/101925934/102129725/102136586/102145235/102135830,36
