category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mcf04072,Phospholipase D signaling pathway - Macaca fascicularis (crab-eating macaque),32/882,157/10949,0.20382165605095542,2.530207836850239,5.716114667763097,7.613756821854965e-7,2.3464214205534845e-5,1.3333181802865633e-5,102138724/102135212/101926221/101866246/102145011/102130539/102135864/102140615/102140628/102123206/102143296/102145183/101865745/102118744/102127819/102141214/101926228/102118276/102117471/102126878/102140151/102132744/102143695/102132043/102131483/102116114/101867258/102135852/102121794/102134655/102121408/102131020,32
Human Diseases,Cancer: overview,mcf05206,MicroRNAs in cancer - Macaca fascicularis (crab-eating macaque),32/882,158/10949,0.20253164556962025,2.514193863199288,5.674542219212966,8.828140910563802e-7,2.493949807234274e-5,1.4171489356431367e-5,102138724/102134559/102115998/102141270/102130245/102136323/102115659/101866246/101867036/102145011/102116460/101865065/102140874/102118744/101864882/102141214/102115803/101864871/102118276/102117471/102128947/101867504/101867139/102131483/101867452/102118652/101864989/102132657/102144868/102140241/101926565/102114969,32
Environmental Information Processing,Signal transduction,mcf04014,Ras signaling pathway - Macaca fascicularis (crab-eating macaque),42/882,240/10949,0.175,2.1724206349206345,5.435835026322709,1.197380578204718e-6,2.9712347598939123e-5,1.6883588295624466e-5,102138724/102144714/102127304/101866246/102140348/101925083/102145011/101926332/102140481/102133022/102143296/102144117/102141084/101865745/102139509/102121723/102141631/102130897/102121272/102140222/102118744/102141214/102115803/102118276/102117471/102128947/102146108/102136095/102132744/101867475/102116653/102143695/102143086/102132043/102131483/102144586/102121794/102121408/102144868/101926461/101866593/102140241,42
Organismal Systems,Endocrine system,mcf04919,Thyroid hormone signaling pathway - Macaca fascicularis (crab-eating macaque),27/882,123/10949,0.21951219512195122,2.724987555998009,5.694507422999429,1.2270586029060405e-6,2.9712347598939123e-5,1.6883588295624466e-5,101865682/102144217/101866092/102136323/101866246/102130545/102145011/102140615/102140628/102146984/102133756/101925525/102135220/102118744/102145890/102132718/102141214/102117471/102132744/101925407/102115223/102131483/101864989/102124503/102125557/101926461/102115185,27
Cellular Processes,Transport and catabolism,mcf04140,Autophagy - animal - Macaca fascicularis (crab-eating macaque),34/882,178/10949,0.19101123595505617,2.371181431374048,5.459194457299295,1.6647135411205385e-6,3.762252602932417e-5,2.137842652807428e-5,102125635/101865017/102116193/102131140/102116967/101866092/101866264/102134403/102116556/101866246/101867036/102145011/102116460/102118605/101867183/102140628/102143296/101926563/102121272/102140222/102118744/102128025/102141214/101926188/102132744/102117377/102129478/102133584/102131483/101865725/102143610/101866278/101926461/102146451,34
Cellular Processes,Cellular community - eukaryotes,mcf04510,Focal adhesion - Macaca fascicularis (crab-eating macaque),37/882,204/10949,0.18137254901960784,2.2515283891334312,5.340774382036462,2.152887597335337e-6,4.5614305968542454e-5,2.591963357318202e-5,102138724/102137533/102118598/102132631/102145776/101926587/102138792/102124156/102130245/102126233/102125329/102138249/101866246/102133300/102119232/101867036/102145011/102133022/101865065/102146984/102133756/102134285/102121272/102118744/102141214/102118276/102126878/102118376/102131342/102132744/102132043/102144586/102127552/101866593/102140241/102127262/102114969,37
Organismal Systems,Development and regeneration,mcf04360,Axon guidance - Macaca fascicularis (crab-eating macaque),34/882,181/10949,0.1878453038674033,2.3318800816827654,5.347964807433878,2.466107754370248e-6,4.917708992538318e-5,2.7944131210511164e-5,102129759/101865645/102145235/102132861/101866246/102145011/102134477/102145041/102136429/102137250/102143736/102114934/102133756/102119905/102130897/102118744/102121940/102125143/102143343/102115803/101866702/102117471/102126878/102146108/101925454/101866070/102131483/102136171/101926144/102119387/102132657/101866593/101866949/102141156,34
Organismal Systems,Development and regeneration,mcf04380,Osteoclast differentiation - Macaca fascicularis (crab-eating macaque),28/882,136/10949,0.20588235294117646,2.5557889822595703,5.403792906808276,3.0140771680272463e-6,5.676511999784647e-5,3.225591355257228e-5,101867458/102146317/102115744/101866246/102143094/102145011/102138947/102134477/102145729/102137250/102141631/102121272/101926770/102134273/102121325/102141214/102140083/102118276/102117471/102126878/102120453/102132744/101866070/102115287/102121794/102143747/102123983/101866593,28
Human Diseases,Cancer: overview,mcf05205,Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque),36/882,207/10949,0.17391304347826086,2.1589273390515626,4.982536161184568,7.958091701843231e-6,1.4198910983815027e-4,8.068314578600064e-5,102138724/101866418/102115998/102141270/101866092/102130245/102136323/102144714/102116556/102138249/102115744/101866246/102141308/102133300/102119232/102145011/102145988/102143296/102139344/102146984/101865745/102118744/101926770/102141214/102118276/102117471/101867504/102145179/102132744/102115223/102131483/101926602/101926461/101866593/102140241/102114969,36
Environmental Information Processing,Signal transduction,mcf04370,VEGF signaling pathway - Macaca fascicularis (crab-eating macaque),16/882,58/10949,0.27586206896551724,3.424505434357651,5.479676653862579,8.6977103216156e-6,1.474261899513844e-4,8.377268362398183e-5,102138249/101866246/102145011/102134477/102137250/102118744/101926770/102141214/102117471/102132744/101866070/102143695/102131483/102116114/101866593/102140241,16
Cellular Processes,Transport and catabolism,mcf04148,Efferocytosis - Macaca fascicularis (crab-eating macaque),30/882,160/10949,0.1875,2.327593537414966,5.007098985330881,9.905680466873498e-6,1.599059846795293e-4,9.086413661342606e-5,102122730/102131487/101866764/102115345/102144217/101866092/101865394/102130245/101926577/102143798/102132310/102145011/102114977/101926332/101865065/102144117/102118770/101926770/101925562/102141214/102115746/101866098/102120453/101926160/102116114/101866184/102119582/101866593/102127213/102146451,30
Cellular Processes,Transport and catabolism,mcf04142,Lysosome - Macaca fascicularis (crab-eating macaque),27/882,137/10949,0.19708029197080293,2.446521674363176,5.042940720725735,1.0606973857856458e-5,1.6344382444606086e-4,9.28744600951068e-5,102125635/101865017/102117130/102116556/101926733/102142959/102143866/102143290/101866080/102127448/102119638/102137349/102116772/101866922/102123618/102140046/101926160/101926323/102115935/102139183/102119759/101866185/101867471/102143246/101925752/102128394/102140912,27
Organismal Systems,Endocrine system,mcf04926,Relaxin signaling pathway - Macaca fascicularis (crab-eating macaque),26/882,130/10949,0.2,2.4827664399092972,5.033876034293911,1.1692365532101406e-5,1.72335300668799e-4,9.792690582949919e-5,102138724/102118598/101867458/101866246/102145011/102140615/101925869/102119905/102121272/102118744/101926770/102134273/102141214/102118276/102131342/102146405/102132744/102131483/102115287/101926144/102139312/102136437/101926461/102140241/102127262/102125035,26
Organismal Systems,Nervous system,mcf04722,Neurotrophin signaling pathway - Macaca fascicularis (crab-eating macaque),25/882,123/10949,0.2032520325203252,2.5231366259240824,5.028159648113428,1.2790474097278174e-5,1.8066544662405422e-4,1.0266038420183798e-4,102137533/101925779/101867458/101866246/101925345/102145011/102133022/101865065/102133756/101865745/102121272/102118744/101926770/102118759/102141214/102115803/102118276/102117471/102132744/102131483/102144586/102135140/101925657/102118836/101866593,25
Human Diseases,Cancer: overview,mcf05231,Choline metabolism in cancer - Macaca fascicularis (crab-eating macaque),22/882,101/10949,0.21782178217821782,2.704003053366561,5.092228343851031,1.336309976454606e-5,1.8120363280724457e-4,1.0296620029102858e-4,102138724/102119326/101866092/101866246/102145011/102135864/102140628/102145183/102121272/102118744/102141214/102118276/102140151/102132744/101864803/102143695/102131834/102132043/102131483/102134655/102121408/101866593,22
Organismal Systems,Endocrine system,mcf04910,Insulin signaling pathway - Macaca fascicularis (crab-eating macaque),27/882,140/10949,0.19285714285714287,2.3940962099125365,4.913779436753914,1.6048915392161773e-5,2.0925316607472465e-4,1.1890491970710949e-4,102128414/102141498/102138091/102137533/102145637/101866246/102133300/102145011/102116460/102140628/101865065/102133756/102118205/101925248/102121272/102118744/102141214/102115738/102118276/102144832/102132744/102138641/102131483/101865279/102138981/102145864/101926461,27
Organismal Systems,Immune system,mcf04662,B cell receptor signaling pathway - Macaca fascicularis (crab-eating macaque),20/882,89/10949,0.2247191011235955,2.7896252133812327,5.017574540952344,2.0154275847827674e-5,2.530481300893919e-4,1.4379073996695767e-4,101867458/101866246/102145011/102138947/102139656/102134477/102137250/102133756/102118154/102118744/102141214/102127082/102118276/102117471/102136095/102132744/101866070/102136490/102131483/101866593,20
Organismal Systems,Immune system,mcf04664,Fc epsilon RI signaling pathway - Macaca fascicularis (crab-eating macaque),17/882,70/10949,0.24285714285714285,3.0147878198898606,5.005362101411123,2.884448669111713e-5,3.3328865661168283e-4,1.893861951868901e-4,102116823/101866246/102145011/102118154/102121272/102118744/101926770/102141214/102118276/102117471/102126878/102132744/102143695/102131483/102121794/101866593/102125035,17
Human Diseases,Cancer: specific types,mcf05211,Renal cell carcinoma - Macaca fascicularis (crab-eating macaque),17/882,70/10949,0.24285714285714285,3.0147878198898606,5.005362101411123,2.884448669111713e-5,3.3328865661168283e-4,1.893861951868901e-4,102137533/102144217/101866092/101866246/102145011/102133022/101865065/101865745/102118770/102118744/102141214/102118276/102132744/102131483/102144586/101866593/102140241,17
Human Diseases,Cancer: overview,mcf05230,Central carbon metabolism in cancer - Macaca fascicularis (crab-eating macaque),18/882,77/10949,0.23376623376623376,2.9019347998939833,4.9572168609335066,2.949457138156485e-5,3.3328865661168283e-4,1.893861951868901e-4,102138724/102134559/102144217/101866092/102144714/101866246/101867036/102145011/101925790/102118744/102141214/102128947/102132744/102143086/101865678/102131483/102145864/102125557,18
Environmental Information Processing,Signal transduction,mcf04068,FoxO signaling pathway - Macaca fascicularis (crab-eating macaque),25/882,130/10949,0.19230769230769232,2.387275422989709,4.709691504199424,3.444568267562489e-5,3.721061936250167e-4,2.114436684781185e-4,102128414/102138724/102116967/101925779/102136323/101866246/101867036/102145011/102123902/102121272/102118744/101926770/102134273/102141214/102118276/102132744/102131483/101865279/102115287/101925870/101866184/102144252/102146086/102115080/101865361,25
Human Diseases,Cancer: specific types,mcf05223,Non-small cell lung cancer - Macaca fascicularis (crab-eating macaque),17/882,71/10949,0.23943661971830985,2.972326019609722,4.934975533437616,3.512506842478034e-5,3.721061936250167e-4,2.114436684781185e-4,102138724/101925779/102127304/101866246/102145011/102140874/102118744/102141214/102128641/102118276/102117471/102140196/102132744/102131483/102145859/102115080/102144868,17
Human Diseases,Cancer: specific types,mcf05213,Endometrial cancer - Macaca fascicularis (crab-eating macaque),15/882,58/10949,0.25862068965517243,3.210473844710298,4.995939274535803,3.829297054957019e-5,3.9337324291831196e-4,2.2352834483481163e-4,102138724/101925779/101866246/101867036/102145011/102116470/102146984/102133756/102118744/102141214/102142970/102118276/102132744/102131483/102115080,15
Cellular Processes,Cell motility,mcf04810,Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque),37/882,231/10949,0.16017316017316016,1.9883627332606923,4.493835057515448,3.965370457506809e-5,3.9537076032200244e-4,2.2466340362964276e-4,102117220/102138724/102129759/101925068/101926587/102144714/102125329/102138249/101866246/102133300/102119232/102145011/101866800/101865065/102143296/102118744/102127819/101925728/102117163/102141214/101926387/102128947/102132744/102143086/102132043/102131483/101867258/102136171/102127552/101925661/102124103/101925124/101866593/102137950/102114969/101866949/102131020,37
Human Diseases,Endocrine and metabolic disease,mcf04933,AGE-RAGE signaling pathway in diabetic complications - Macaca fascicularis (crab-eating macaque),21/882,101/10949,0.2079207920792079,2.5810938236680814,4.7249274391050236,4.3653584620921854e-5,4.2281614818550023e-4,2.402588266354496e-4,102118598/101926221/101926587/102147003/101866246/102119232/102145011/102140615/102121272/102118744/101926770/102134273/102117471/102131342/102132744/102131483/102115287/102146086/101866593/102140241/102127262,21
Human Diseases,Cancer: specific types,mcf05219,Bladder cancer - Macaca fascicularis (crab-eating macaque),12/882,40/10949,0.3,3.7241496598639454,5.108814580483044,4.6613900838931095e-5,4.3894756623326776e-4,2.4942525887498217e-4,102138724/102130245/102136323/102145011/102118744/102141214/102128947/102133584/102131483/102145859/102144868/102140241,12
Cellular Processes,Transport and catabolism,mcf04146,Peroxisome - Macaca fascicularis (crab-eating macaque),19/882,87/10949,0.21839080459770116,2.7110668021998077,4.742674782612022,4.9189947345658076e-5,4.503308166170763e-4,2.5589361726727206e-4,102130550/102125355/102137495/102132786/102135475/102124036/102143849/102140312/102116275/102137897/102131038/102123902/101925790/102123075/102134633/101865931/102132163/102140514/102143016,19
Organismal Systems,Immune system,mcf04611,Platelet activation - Macaca fascicularis (crab-eating macaque),24/882,125/10949,0.192,2.383455782312925,4.604453063150677,5.047956056474602e-5,4.503308166170763e-4,2.5589361726727206e-4,102132631/102138792/102115744/101866246/102133300/102145011/102140615/102133022/102119905/102122483/102118154/102139509/101926770/102127819/102117471/102126878/102118376/102145693/102132744/102143695/102144586/101926144/101926461/102131020,24
Human Diseases,Infectious disease: viral,mcf05166,Human T-cell leukemia virus 1 infection - Macaca fascicularis (crab-eating macaque),37/882,234/10949,0.1581196581196581,1.9628709033470937,4.406883368794163,5.266850394197108e-5,4.5781084195713315e-4,2.6014402756763044e-4,102145235/102144217/101867458/102138792/101865059/102146317/102147242/101866246/101925881/101867036/102145011/102134477/102137250/102141549/102121723/102121272/102140222/102118744/102134273/102141214/102118376/102146405/102132744/101866070/102131483/102141971/102115287/102145859/102146086/102136437/102123983/101926461/101925124/102144414/102115185/102126031/102125035,37
Organismal Systems,Aging,mcf04211,Longevity regulating pathway - Macaca fascicularis (crab-eating macaque),19/882,88/10949,0.2159090909090909,2.6802592249020822,4.684188572884189,5.808687908616543e-5,4.891634272568155e-4,2.7795965591677455e-4,102128414/101925779/101866115/101866264/101866246/102116460/102140628/102123902/102125769/102118744/102146405/102120453/102132744/102131483/101865279/101865915/101866278/102136437/101926461,19
Metabolism,Amino acid metabolism,mcf00220,Arginine biosynthesis - Macaca fascicularis (crab-eating macaque),9/882,24/10949,0.375,4.655187074829932,5.305864562637232,5.91613584587889e-5,4.891634272568155e-4,2.7795965591677455e-4,102134328/101865666/102134559/101926704/102131487/101865472/101865315/102129898/101926166,9
Environmental Information Processing,Signal transduction,mcf04070,Phosphatidylinositol signaling system - Macaca fascicularis (crab-eating macaque),20/882,96/10949,0.20833333333333334,2.586215041572185,4.6203452771895694,6.402093969709209e-5,5.167404418408147e-4,2.93629873798693e-4,102119398/101926413/102134403/102115744/101866246/101867036/102130122/102140615/102120568/101865360/101925728/102117471/102124544/102121085/102140151/101866163/102133042/102143610/102134655/102124103,20
Human Diseases,Cancer: specific types,mcf05212,Pancreatic cancer - Macaca fascicularis (crab-eating macaque),18/882,82/10949,0.21951219512195122,2.724987555998009,4.640766438751694,7.188147513787749e-5,5.66693490040476e-4,3.220149314622174e-4,102138724/101866246/102145011/102140874/102121272/102140222/102134273/102141214/102132744/102131483/102115287/102145859/102121408/102146086/102115080/102123983/101866593/102140241,18
Organismal Systems,Nervous system,mcf04728,Dopaminergic synapse - Macaca fascicularis (crab-eating macaque),25/882,136/10949,0.18382352941176472,2.2819544484460454,4.452670917686363,7.50153658004283e-5,5.779592955987544e-4,3.284165536238847e-4,101865477/102122335/102115744/102144364/102133300/102140615/101925723/101925869/102134477/101926197/102133756/102119905/102121272/101926770/101865955/102142696/102140196/102146405/102132744/101866070/101925100/101926144/102114823/102136437/101926461,25
Environmental Information Processing,Signal transduction,mcf04340,Hedgehog signaling pathway - Macaca fascicularis (crab-eating macaque),14/882,55/10949,0.2545454545454545,3.1598845598845595,4.753022298758931,8.341174817941555e-5,6.283685029515972e-4,3.570608167680244e-4,101926774/101925869/101925308/102115281/102131133/102133756/101867010/102126087/102128940/102144316/102143687/102141926/102144252/101926461,14
Human Diseases,Cancer: specific types,mcf05215,Prostate cancer - Macaca fascicularis (crab-eating macaque),21/882,106/10949,0.19811320754716982,2.4593441150044923,4.468765520280925,9.166278208662576e-5,6.755148505949159e-4,3.838510096533756e-4,102138724/101867458/102136323/102144714/101866246/101867036/102145011/102116470/102146984/102133756/102118744/102141214/102118276/102146405/102132744/102143086/101867139/102132043/102131483/102145859/102136437,21
Environmental Information Processing,Signal transduction,mcf04151,PI3K-Akt signaling pathway - Macaca fascicularis (crab-eating macaque),52/882,379/10949,0.13720316622691292,1.7032170827873803,4.124042917436269,9.466318681685547e-5,6.827834112960426e-4,3.879812583983102e-4,102138724/101865477/102118598/102115998/102132631/102145637/102145776/101925779/102130245/102136323/102126233/102144714/101866246/102144364/102141308/102119232/101867036/102145011/102116460/101925723/102140628/102140874/102133649/101926197/102133756/102141631/102140222/102118744/101865955/102141214/102140083/102118276/102115184/102131342/102128947/102142696/102146108/102146405/102135001/102132744/102143086/102132043/102131483/102131212/101925870/101866184/102136437/102123983/101866593/102140241/102127262/102114969,52
Environmental Information Processing,Signal transduction,mcf04012,ErbB signaling pathway - Macaca fascicularis (crab-eating macaque),18/882,84/10949,0.21428571428571427,2.6601068999028183,4.520770756344549,1.001960952662756e-4,6.971521951771949e-4,3.9614610065960765e-4,102138724/102115998/101866246/102141308/102145011/101865065/102133756/101865745/102121272/102118744/102141214/102115803/102118276/102117471/102132744/102131483/102145460/102125035,18
Organismal Systems,Immune system,mcf04666,Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque),20/882,99/10949,0.20202020202020202,2.5078448887972695,4.460782507299825,1.0076831139729365e-4,6.971521951771949e-4,3.9614610065960765e-4,102143982/101866246/102145011/102135864/101926332/101865065/102145183/102120139/102118154/102117163/102141214/102117471/102132744/102143695/102131834/102116114/102136171/102121794/101866593/101866949,20
Human Diseases,Infectious disease: viral,mcf05165,Human papillomavirus infection - Macaca fascicularis (crab-eating macaque),49/882,354/10949,0.1384180790960452,1.7182988072818581,4.066379885227242,1.2046561736661629e-4,8.167568857456584e-4,4.641096416440165e-4,102138724/101865477/102118598/102132631/102145776/102130245/102136323/102126233/102138249/101866246/102143094/102144364/102119232/101867036/102145011/101925723/102140628/101867212/102116470/102140874/101926197/102114934/102146984/102133756/102118744/101865955/102127448/102141214/102142970/102140083/102118276/102131342/102142696/102146405/102132744/101865678/102131483/102145859/101864989/102142627/102143246/101865547/102136437/102123983/101926461/101866706/102140241/102127262/102114969,49
Environmental Information Processing,Signal transduction,mcf04390,Hippo signaling pathway - Macaca fascicularis (crab-eating macaque),27/882,158/10949,0.17088607594936708,2.121351072074399,4.20233772946445,1.433618687845108e-4,9.529347748617483e-4,5.414906498981523e-4,101926774/101865477/102130105/101866775/102147003/102133300/102116470/101926197/102114934/102146984/102133756/102134273/102145501/102142970/102115184/102142696/102126115/102139594/102131212/102115287/102143687/102144252/102146086/102132657/102134227/102144868/101925124,27
Human Diseases,Cardiovascular disease,mcf05417,Lipid and atherosclerosis - Macaca fascicularis (crab-eating macaque),35/882,229/10949,0.15283842794759825,1.8973105981839606,4.061765050442953,1.6621399481063962e-4,0.0010835873892462852,6.157320050677541e-4,102116823/102116193/101867458/102135853/101926577/101866246/102145011/102140615/102123902/102133022/102134477/102137250/102135896/102133756/102118154/102121272/102140222/102118744/101926770/102128025/102135101/102120453/102132744/102117377/101866070/102131483/102128526/102144586/102118430/101925657/102131294/102143747/101866593/102127213/102125035,35
Human Diseases,Cancer: specific types,mcf05210,Colorectal cancer - Macaca fascicularis (crab-eating macaque),19/882,95/10949,0.2,2.4827664399092972,4.296267305957288,1.7139441567231024e-4,0.0010962774889228901,6.229429606362021e-4,102138724/101866246/102145011/102116470/102146984/102133756/102121272/102118744/102134273/102141214/102142970/102118276/102132744/102131483/102115287/102121408/102146086/102115080/101866593,19
Human Diseases,Cancer: specific types,mcf05225,Hepatocellular carcinoma - Macaca fascicularis (crab-eating macaque),28/882,169/10949,0.16568047337278108,2.056729595191134,4.097788083100718,1.8744409569530331e-4,0.0011767323785316264,6.686602244101463e-4,102138724/101866246/101867036/102145011/102129027/102116470/102140874/101925399/102116616/102146984/102133756/101865745/102140222/102118744/102146500/102134273/102141214/102142970/102118276/102117471/102123741/102132744/102131483/102115287/102145859/102146086/102115080/101926565,28
Organismal Systems,Nervous system,mcf04730,Long-term depression - Macaca fascicularis (crab-eating macaque),14/882,60/10949,0.23333333333333334,2.896560846560847,4.360136237022298,2.2754566410374666e-4,0.0014025087296576386,7.969541919805864e-4,101865477/102115744/102145011/102140615/102119905/102122483/102118154/102118744/102127819/102141214/102143695/102131483/101867258/101926144,14
Organismal Systems,Immune system,mcf04660,T cell receptor signaling pathway - Macaca fascicularis (crab-eating macaque),22/882,121/10949,0.18181818181818182,2.2570603999175427,4.115535570513498,2.3414805899329608e-4,0.0014174319999772746,8.054341127025035e-4,101865477/101867458/101866246/102144364/102145011/101925723/102134477/101926197/102137250/102133756/102121272/102118744/101926770/101865955/102141214/102127082/102118276/102126878/102142696/102132744/101866070/102131483,22
Metabolism,Lipid metabolism,mcf00564,Glycerophospholipid metabolism - Macaca fascicularis (crab-eating macaque),19/882,99/10949,0.1919191919191919,2.3824526443574063,4.089824237849067,3.000812661843377e-4,0.001784693846254219,0.0010141250546949916,102119326/102121328/101865501/102139053/102128346/102131353/102135864/101926332/102145183/102127260/101866476/102140151/102143695/102135852/102143856/101926162/101866889/102134655/102139823,19
Organismal Systems,Immune system,mcf04659,Th17 cell differentiation - Macaca fascicularis (crab-eating macaque),20/882,108/10949,0.18518518518518517,2.2988578147308303,4.01504548726557,3.4513142156626994e-4,0.0020172336536373363,0.0011462622531148348,102145834/102142259/101867458/101866092/102146317/102143094/102145011/102133222/102134477/102133649/102137250/102121272/101926770/102120882/102134273/101866070/102115287/102146086/102123983/102144414,20
Human Diseases,Cancer: specific types,mcf05218,Melanoma - Macaca fascicularis (crab-eating macaque),15/882,70/10949,0.21428571428571427,2.6601068999028183,4.124223940126318,3.7282119477759587e-4,0.0021421421191458474,0.0012172395833059775,102138724/102136323/102144714/101866246/101867036/102145011/102140874/102118744/102121325/102141214/102132744/102132043/102131483/102145859/102115080,15
Organismal Systems,Endocrine system,mcf04935,"Growth hormone synthesis, secretion and action - Macaca fascicularis (crab-eating macaque)",22/882,127/10949,0.1732283464566929,2.1504276251182888,3.8597488825748365,4.734875346510597e-4,0.0026752045707784874,0.0015201441901955073,102116823/102115744/101866246/102145011/102140615/101865065/102133756/102119905/102121272/102118744/101926770/102141214/102118276/102117471/102146405/102132744/102131483/101926144/102119841/102136437/101926461/102125035,22
Organismal Systems,Endocrine system,mcf04912,GnRH signaling pathway - Macaca fascicularis (crab-eating macaque),18/882,95/10949,0.18947368421052632,2.352094522019334,3.917649693953792,5.042347604364016e-4,0.0028022226850481988,0.0015923202961149522,102138724/102116823/102115744/102145011/102130539/102140615/102121272/102118744/101926770/101865276/102141214/102118276/102143695/102131483/102119841/101926461/102138136/102125035,18
